epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,2211.46,0.86862,5.01592,0.16975,0.48752,1.02585,0.90666,0.802,0.8743,0.49944,0.27511,0.15632,0.11636,0.02872,1.46734,6.81083,0.09007,0.61866,1.38581,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2256.06,0.86675,4.9787,0.16664,0.48726,1.0243,0.89016,0.7777,0.8555,0.50469,0.30218,0.15415,0.13678,0.03379,1.50207,6.93157,0.10084,0.63291,1.40704,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2300.45,0.86157,4.92866,0.1656,0.48436,1.02447,0.90745,0.78619,0.87916,0.52396,0.30444,0.15212,0.13433,0.0323,1.47818,6.87924,0.09389,0.62373,1.38645,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2344.93,0.8531,4.90124,0.16578,0.47897,1.01877,0.90235,0.79548,0.87927,0.51606,0.2986,0.15357,0.13258,0.03258,1.5017,6.95207,0.09709,0.63708,1.42725,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2389.49,0.85177,4.90456,0.16551,0.48288,1.01989,0.90133,0.79065,0.87438,0.51347,0.29046,0.1485,0.13334,0.03335,1.50542,6.92045,0.09774,0.62378,1.42246,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2434.07,0.85351,4.91361,0.16515,0.48172,1.02157,0.88493,0.78289,0.85727,0.4971,0.29738,0.14705,0.12942,0.0315,1.52305,7.00936,0.10435,0.63492,1.44626,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2478.55,0.85232,4.87519,0.16187,0.47985,1.01783,0.90044,0.78275,0.86835,0.50989,0.31038,0.15646,0.13717,0.03431,1.48191,6.89069,0.10096,0.62538,1.40722,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2523.22,0.85106,4.85046,0.16117,0.47681,1.01775,0.90923,0.78072,0.8663,0.51053,0.29144,0.14821,0.12576,0.03113,1.47747,6.8922,0.09777,0.61864,1.40456,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2567.68,0.84354,4.82502,0.16039,0.4745,1.01362,0.90919,0.77898,0.86462,0.50732,0.28523,0.15371,0.12817,0.03162,1.48721,6.90289,0.09981,0.60979,1.41677,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2612.32,0.84268,4.82105,0.16107,0.47393,1.0137,0.90571,0.79491,0.86903,0.50977,0.28032,0.15386,0.12528,0.03023,1.4714,6.85325,0.09425,0.60794,1.39964,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
