epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,335.399,0.4266,3.71054,0.2063,0.32505,0.98957,0.99027,1,0.99495,0.96885,0.94782,0.95714,0.95312,0.31619,0.30351,2.94294,0.06892,0.22359,0.83939,0.0009506,0.0009506,0.0009506
55,341.525,0.4274,3.71151,0.20841,0.32202,0.98674,0.99496,1,0.995,0.96964,0.93334,0.9381,0.92578,0.28407,0.29669,2.96476,0.07146,0.21463,0.84119,0.0009308,0.0009308,0.0009308
56,347.679,0.40442,3.59757,0.20384,0.30861,0.97877,0.99021,1,0.99495,0.97063,0.94305,0.95238,0.93264,0.31088,0.29242,2.87026,0.0867,0.21622,0.83846,0.000911,0.000911,0.000911
57,353.714,0.40811,3.60245,0.21283,0.31113,0.98372,0.99018,1,0.995,0.96961,0.94773,0.95714,0.95315,0.32581,0.29056,2.82696,0.07773,0.21629,0.83768,0.0008912,0.0008912,0.0008912
58,359.809,0.41695,3.58057,0.20492,0.314,0.98257,0.9901,1,0.995,0.97303,0.9335,0.94286,0.92871,0.29234,0.30218,2.96075,0.06722,0.21569,0.84024,0.0008714,0.0008714,0.0008714
59,365.858,0.41291,3.5638,0.20747,0.31029,0.98308,0.99524,0.99669,0.995,0.97169,0.95245,0.95391,0.94909,0.31171,0.293,2.86597,0.06597,0.21083,0.8374,0.0008516,0.0008516,0.0008516
60,371.852,0.39266,3.49654,0.2025,0.30596,0.96626,0.99441,1,0.99495,0.96834,0.94229,0.94762,0.93387,0.3172,0.30673,2.85524,0.07376,0.22,0.84713,0.0008318,0.0008318,0.0008318
61,377.943,0.39272,3.52332,0.20274,0.30023,0.96451,0.9984,0.99524,0.995,0.97603,0.97447,0.97143,0.97476,0.34207,0.29611,2.7689,0.07243,0.21543,0.83868,0.000812,0.000812,0.000812
62,384.008,0.39317,3.47718,0.20144,0.30243,0.96941,0.99398,1,0.99491,0.96238,0.95132,0.95714,0.94358,0.32481,0.3062,2.82884,0.0683,0.22298,0.83836,0.0007922,0.0007922,0.0007922
63,390.033,0.40967,3.54531,0.19859,0.31015,0.98234,0.99479,1,0.995,0.97459,0.94267,0.94762,0.93962,0.31636,0.28747,2.78474,0.07157,0.20679,0.83606,0.0007724,0.0007724,0.0007724
64,396.07,0.38979,3.42213,0.19986,0.29443,0.96659,0.99454,1,0.995,0.97815,0.95666,0.9619,0.96214,0.33105,0.27983,2.7693,0.0732,0.19934,0.82616,0.0007526,0.0007526,0.0007526
65,402.145,0.39082,3.42622,0.19893,0.30062,0.96837,0.99526,0.99939,0.99495,0.9777,0.97155,0.9756,0.97622,0.335,0.27573,2.7274,0.09068,0.20195,0.8278,0.0007328,0.0007328,0.0007328
66,408.322,0.39638,3.37657,0.19439,0.30658,0.98012,0.99442,1,0.995,0.96415,0.9564,0.9619,0.96593,0.34575,0.30958,2.78198,0.07671,0.21611,0.84603,0.000713,0.000713,0.000713
67,414.349,0.38059,3.35777,0.19671,0.29315,0.96847,0.99495,1,0.995,0.97964,0.96178,0.96667,0.96148,0.36269,0.2811,2.68849,0.07747,0.2122,0.83079,0.0006932,0.0006932,0.0006932
