epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,18757.1,0.52048,1.55537,0.1356,0.21336,0.0054,0.82329,0.93107,0.83161,0.89349,0.66681,0.71568,0.56862,0.56778,0.17663,0.89421,3.99766,0.1035,0.49451,0.01273,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19062.6,0.52251,1.55505,0.13316,0.21733,0.00542,0.8215,0.95462,0.82128,0.88764,0.65952,0.7198,0.57314,0.55962,0.17157,0.88182,3.97408,0.10061,0.50266,0.01252,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19367.3,0.52123,1.56006,0.13587,0.21575,0.0055,0.83735,0.94792,0.81595,0.89819,0.68048,0.74524,0.56353,0.61007,0.19553,0.9137,3.9756,0.1006,0.54847,0.0131,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19672.6,0.52037,1.54264,0.13329,0.21457,0.00536,0.74039,0.94135,0.81752,0.90026,0.68439,0.72396,0.55814,0.58632,0.18844,0.89547,3.99729,0.09763,0.53798,0.01278,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19977.6,0.51425,1.50925,0.13208,0.20987,0.00532,0.72513,0.94608,0.82244,0.8951,0.67392,0.70751,0.56775,0.57065,0.17926,0.88068,3.99726,0.09863,0.52343,0.01254,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20282.6,0.51521,1.51564,0.1318,0.20712,0.00536,0.72361,0.94343,0.8374,0.90608,0.67759,0.71213,0.56615,0.58964,0.18972,0.88911,3.9678,0.09706,0.50973,0.01269,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20587.3,0.50932,1.49422,0.12977,0.20642,0.00525,0.6538,0.94425,0.84797,0.91378,0.68795,0.71758,0.57576,0.59676,0.1896,0.87056,3.94718,0.09795,0.48774,0.01235,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,326.785,0.4961,1.43375,0.12782,0.20515,0.00518,0.54284,0.95117,0.84193,0.91151,0.6847,0.7158,0.56889,0.58608,0.18696,0.88158,3.96238,0.09606,0.4871,0.01253,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,632.886,0.4976,1.42401,0.12461,0.20198,0.00517,0.50519,0.95548,0.84654,0.90774,0.68046,0.72004,0.56367,0.5764,0.17945,0.86702,3.96302,0.09564,0.49207,0.01224,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,938.423,0.49864,1.43575,0.1225,0.20184,0.00523,0.57223,0.94786,0.84138,0.90393,0.6842,0.72136,0.56076,0.57747,0.18394,0.8689,3.96797,0.09544,0.49752,0.01231,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1243.64,0.49666,1.4274,0.12289,0.20133,0.00518,0.53671,0.94908,0.83583,0.90041,0.67986,0.71912,0.56615,0.58246,0.18408,0.87926,3.97487,0.0949,0.51204,0.01242,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1549.27,0.49109,1.42377,0.12055,0.20016,0.00508,0.47621,0.95302,0.83001,0.89313,0.67232,0.72498,0.55945,0.56302,0.17625,0.87338,3.99457,0.09324,0.52318,0.01229,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1859.16,0.4894,1.4126,0.11954,0.19731,0.00507,0.4806,0.95207,0.82972,0.89218,0.67134,0.72212,0.55975,0.56766,0.1792,0.88559,3.98933,0.09323,0.52579,0.01253,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2168.1,0.48873,1.4116,0.11914,0.20015,0.0051,0.49635,0.944,0.83117,0.90111,0.68448,0.7066,0.56642,0.58277,0.18876,0.89093,4.01076,0.09274,0.52617,0.01263,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2473.59,0.48989,1.39941,0.11837,0.19682,0.00506,0.43526,0.94355,0.83437,0.89844,0.67957,0.70708,0.56149,0.57272,0.18291,0.88956,4.00689,0.09168,0.52865,0.01264,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2780.49,0.48613,1.39476,0.11815,0.19873,0.00504,0.43959,0.94676,0.83801,0.91459,0.70257,0.72107,0.56062,0.60516,0.1997,0.88373,3.98204,0.09119,0.52391,0.01253,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3086.05,0.48445,1.37237,0.11693,0.20068,0.00504,0.39415,0.94947,0.84783,0.91618,0.70437,0.71249,0.57743,0.60432,0.19828,0.8588,3.94159,0.0915,0.50705,0.01207,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3393.45,0.48529,1.36984,0.1159,0.19792,0.00501,0.41085,0.95092,0.84398,0.91231,0.69531,0.72175,0.58085,0.60305,0.19521,0.86686,3.93645,0.09002,0.50971,0.0122,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3699.01,0.47897,1.36089,0.11656,0.19828,0.00494,0.37498,0.94684,0.83423,0.90094,0.68677,0.7196,0.56586,0.59396,0.19335,0.87837,3.97172,0.09227,0.5304,0.01245,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4005.37,0.48169,1.35125,0.11538,0.19446,0.00496,0.36501,0.94542,0.8319,0.90283,0.68928,0.73249,0.55742,0.60214,0.1965,0.88407,3.96724,0.09213,0.52604,0.01257,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4312.72,0.47598,1.33724,0.11445,0.1921,0.0049,0.33761,0.94484,0.83481,0.9092,0.69535,0.71659,0.57634,0.61975,0.20236,0.89326,3.9544,0.09027,0.51301,0.01272,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4618.1,0.47181,1.32013,0.11507,0.18841,0.00491,0.37563,0.9473,0.83816,0.90798,0.68981,0.7243,0.57182,0.60255,0.19362,0.87855,3.95115,0.08999,0.5092,0.01246,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
